    ,visit_id         ,site_url                        ,site_rank ,complete ,banners ,interaction    ,clicked        ,count_fp ,count_tp ,count_tr
163 ,6717747487030485 ,https://flashscore.com          ,      163 ,True     ,      1 ,No interaction ,No interaction ,       6 ,       1 ,       0
164 ,2770274730677790 ,https://mendeley.com            ,      164 ,True     ,      1 ,No interaction ,No interaction ,       2 ,       0 ,       0
165 ,8727893895110732 ,https://elsevierhealth.com      ,      165 ,True     ,      1 ,No interaction ,No interaction ,      16 ,       0 ,       0
166 ,2373890020352769 ,https://lilly.com               ,      166 ,True     ,      1 ,No interaction ,No interaction ,       7 ,       3 ,       0
167 ,1473332270890017 ,https://pb.com                  ,      167 ,True     ,      1 ,No interaction ,No interaction ,       0 ,      39 ,       8
168 ,7154863027864308 ,https://nap.edu                 ,      168 ,True     ,      1 ,No interaction ,No interaction ,       0 ,      15 ,       0
169 ,7459943995818667 ,https://deltadna.net            ,      169 ,True     ,      1 ,No interaction ,No interaction ,       2 ,       0 ,       0
170 ,2380662506907325 ,https://home.kpmg               ,      170 ,True     ,      1 ,No interaction ,No interaction ,       0 ,      14 ,       0
171 ,5164031561756775 ,https://isipp.com               ,      171 ,True     ,      1 ,No interaction ,No interaction ,      19 ,       1 ,       0
172 , 167294049645260 ,https://sqills.com              ,      172 ,True     ,      1 ,No interaction ,No interaction ,       5 ,       0 ,       0
173 ,5238979729554266 ,https://imperial.ac.uk          ,      173 ,True     ,      1 ,No interaction ,No interaction ,       5 ,       0 ,       0
174 ,4216074927329337 ,https://split.io                ,      174 ,False    ,      1 ,No interaction ,No interaction ,      18 ,      45 ,      28
175 ,2288657336983527 ,https://doodle.com              ,      175 ,True     ,      1 ,No interaction ,No interaction ,      10 ,       0 ,       0
176 ,2769133005915089 ,https://oclc.org                ,      176 ,True     ,      1 ,No interaction ,No interaction ,       2 ,       0 ,       0
177 ,2742011508031821 ,https://spglobal.com            ,      177 ,False    ,      1 ,No interaction ,No interaction ,      12 ,       4 ,       1
178 ,3091022336491150 ,https://overleaf.com            ,      178 ,True     ,      1 ,No interaction ,No interaction ,       1 ,       0 ,       0
179 ,2084967606143216 ,https://vertamedia.com          ,      179 ,True     ,      1 ,No interaction ,No interaction ,       0 ,      24 ,      14
180 , 823168195228365 ,https://playtika.com            ,      180 ,False    ,      1 ,No interaction ,No interaction ,       6 ,       9 ,       0
181 ,4731382396290797 ,https://pandasecurity.com       ,      181 ,True     ,      1 ,No interaction ,No interaction ,       6 ,       1 ,       1
182 ,3465069139727856 ,https://hltv.org                ,      182 ,True     ,      1 ,No interaction ,No interaction ,      13 ,       1 ,       0
183 ,4152304323125719 ,https://pantheonsite.io         ,      183 ,True     ,      1 ,No interaction ,No interaction ,       0 ,      79 ,      25
184 ,3599163011264949 ,https://barracudanetworks.com   ,      184 ,True     ,      1 ,No interaction ,No interaction ,       0 ,      45 ,       8
185 ,3247865325341048 ,https://military.com            ,      185 ,True     ,      1 ,No interaction ,No interaction ,      17 ,      33 ,      21
186 ,2615378407376018 ,https://mailerlite.com          ,      186 ,True     ,      1 ,No interaction ,No interaction ,       1 ,       1 ,       0
187 ,7681494817753642 ,https://justpremium.com         ,      187 ,True     ,      1 ,No interaction ,No interaction ,       0 ,      10 ,       7
188 ,7317228670890172 ,https://ccleaner.com            ,      188 ,True     ,      1 ,No interaction ,No interaction ,      25 ,       8 ,       0
189 ,5790827769676309 ,https://hyprmx.com              ,      189 ,True     ,      1 ,No interaction ,No interaction ,       5 ,       0 ,       0
190 ,1400045564020699 ,https://wish.com                ,      190 ,True     ,      1 ,No interaction ,No interaction ,      26 ,      25 ,      15
191 ,1524408543477495 ,https://logi.com                ,      191 ,True     ,      0 ,No interaction ,No interaction ,       2 ,     115 ,      36
192 ,3568941486142684 ,https://urbanairship.com        ,      192 ,True     ,      1 ,No interaction ,No interaction ,       0 ,       6 ,       1
193 ,6777026014511752 ,https://uservoice.com           ,      193 ,True     ,      1 ,No interaction ,No interaction ,       6 ,      11 ,       0
194 ,6307068039420094 ,https://aa.com.tr               ,      194 ,True     ,      0 ,No interaction ,No interaction ,       0 ,       0 ,       0
195 ,3030537410653789 ,https://splunk.com              ,      195 ,True     ,      1 ,No interaction ,No interaction ,      42 ,      53 ,      27
196 ,1696588540289653 ,https://rightmove.co.uk         ,      196 ,True     ,      1 ,No interaction ,No interaction ,      10 ,       0 ,       0
197 ,8262016635476347 ,https://liveabout.com           ,      197 ,True     ,      0 ,No interaction ,No interaction ,      19 ,      26 ,      17
198 ,7379810358155127 ,https://bartleby.com            ,      198 ,True     ,      0 ,No interaction ,No interaction ,      26 ,      10 ,       0
199 ,3947085448684365 ,https://domain.com              ,      199 ,True     ,      1 ,No interaction ,No interaction ,      32 ,      18 ,      15
200 ,1141767593400982 ,https://watchguard.com          ,      200 ,True     ,      1 ,No interaction ,No interaction ,       6 ,       0 ,       0
201 ,6690309426766371 ,https://hik-connect.com         ,      201 ,True     ,      1 ,No interaction ,No interaction ,       5 ,       0 ,       0
202 ,4016307503702519 ,https://exoclick.com            ,      202 ,True     ,      1 ,No interaction ,No interaction ,       1 ,       0 ,       0
203 ,2236624603678704 ,https://2k.com                  ,      203 ,True     ,      1 ,No interaction ,No interaction ,       6 ,       0 ,       0
204 ,6867367597835068 ,https://onaudience.com          ,      204 ,True     ,      1 ,No interaction ,No interaction ,       0 ,       1 ,       0
205 ,6380299616832351 ,https://avid.com                ,      205 ,True     ,      1 ,No interaction ,No interaction ,       8 ,      61 ,      43
